Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
africanamericanstudies	Institute for Research in African American Studies	1	0	0	0	1
americanstudies	American Studies	2	0	0	0	2
ancientstudies	Classics	2	0	0	0	2
anthropology	Anthropology	8	0	0	0	8
appliedmathematics	Mathematics	2	0	0	0	2
archaeology	Art History & Archaeology	1	0	0	0	1
architecture	Architecture, Planning And Preservation	6	0	0	0	6
arthistory	Art History & Archaeology	5	0	0	0	5
arthistoryandvisualarts	NA	0	2	0	0	2
biochemistry	Biological Sciences-Chemistry **	0	1	0	0	1
biologicalsciences	Biological Sciences	7	0	0	0	7
classicalstudies	Classics	2	0	0	0	2
classics	Classics	1	0	0	0	1
comparativeliteratureandsociety	Center for Comparative Literature and Society	1	0	0	0	1
computerscience	Computer Science	7	0	0	0	7
eastasianstudies	East Asian Languages & Cultures	2	0	0	0	2
economics	Economics	29	0	1	3	33
economicsmathematics	Economics-Mathematics **	0	2	0	0	2
economicsoperationsresearch	Economics-Industrial Engineering & OperationsResearch **	0	2	0	0	2
economicsphilosophy	Economics-Philosophy **	0	5	0	0	5
economicspoliticalscience	Economics-Political Science **	0	3	0	0	3
education	Education (Barnard)	0	0	0	2	2
english	English & Comparative Literature	0	0	1	0	1
englishliterature	English & Comparative Literature	17	0	0	0	17
filmstudies	Film (School Of The Arts)	9	0	0	0	9
french	French & Romance Philology	2	0	0	0	2
hispanicstudies	Spanish & Portuguese	3	0	0	0	3
history	History	32	0	0	0	32
history/theoryofarchitecture	Art History & Archaeology	2	0	0	0	2
latinamericanstudies	Spanish & Portuguese	1	0	0	0	1
latinostudies	Latino Studies	1	0	0	0	1
literature/writing	Writing: Undergraduate (School Of The Arts)	18	0	0	0	18
mathematics	Mathematics	4	0	1	0	5
music	Music	3	0	0	0	3
neuroscienceandbehavior	Biological Sciences-Psychology **	0	3	0	0	3
philosophy	Philosophy	11	0	0	0	11
physics	Physics	1	0	0	0	1
politicalscience	Political Science	27	0	0	0	27
psychology	Psychology	11	0	0	1	12
religion	Religion	6	0	0	0	6
slavicliteratureandculture	Slavic Languages	0	0	1	0	1
sociology	Sociology	5	0	0	0	5
spanish	Spanish & Portuguese	2	0	0	0	2
statistics	Statistics	1	0	0	0	1
urbanstudies	Urban Studies	1	0	0	0	1
visualarts	Visual Arts (School of The Arts)	1	0	0	0	1
women'sstudies	Women's and Gender Studies	2	0	0	0	2
writing	Writing: Undergraduate (School Of The Arts)	0	0	2	2	4
Grand Totals	Grand Totals	236	18	6	8	268
NA	NA	NA	NA	NA	Total Number of Degrees	245
