africanamericanstudies	Institute for Research in African American Studies	2	0	5	0	7
americanstudies	American Studies	13	0	9	0	22
ancientstudies	Classics	2	0	0	0	2
anthropology	Anthropology	19	0	10	0	29
appliedmathematics	Mathematics	2	0	0	0	2
archaeology	Archaeology	6	0	0	0	6
architecture	Architecture (Barnard)	16	0	0	0	16
arthistory	Art History & Archaeology	29	0	22	0	51
arthistoryandvisualarts	NA	0	2	0	0	2
asianamericanstudies	Asian American Studies	1	0	0	0	1
astronomy	Astronomy	0	0	5	0	5
astrophysics	Astronomy-Physics **	0	4	0	0	4
biochemistry	Biological Sciences	1	0	0	0	1
biochemistry	Biological Sciences-Chemistry **	0	11	0	0	11
biology	Biological Sciences	29	0	2	0	31
biophysics	Biological Sciences-Physics **	0	1	0	0	1
chemistry	Chemistry	5	0	2	0	7
classics	Classics	9	0	3	0	12
comparativeliteratureandsociety	Center for Comparative Literature and Society	14	0	0	0	14
computerscience	Computer Science	11	0	5	0	16
dance	Dance (Barnard)	4	0	2	0	6
dramaandtheatrearts	Drama And Theatre Arts	1	0	0	0	1
earthscience	Earth and Environmental Sciences	0	0	1	0	1
eastasianstudies	East Asian Languages & Cultures	11	0	2	0	13
economics	Economics	100	0	21	0	121
economicsmathematics	Economics-Mathematics **	0	17	0	0	17
economicsoperationsresearch	Economics-Industrial Engineering & OperationsResearch **	0	4	0	0	4
economicsphilosophy	Economics-Philosophy **	0	9	0	0	9
economicspoliticalscience	Economics-Political Science **	0	26	0	0	26
economicsstatistics	Economics-Statistics **	0	1	0	0	1
english	English & Comparative Literature	114	0	26	0	140
environmentalbiology	Ecology, Evolution, and Environmental Biology	8	0	3	0	11
environmentalscience	Earth and Environmental Sciences	3	0	3	0	6
filmstudies	Film (School Of The Arts)	24	0	0	0	24
french	French & Romance Philology	10	0	3	0	13
frenchandfrancophonestudies	French & Romance Philology	0	0	2	0	2
germanliteratureandculturalhistory	Germanic Languages	2	0	0	0	2
hispanicstudies	Spanish & Portuguese	1	0	0	0	1
history	History	91	0	24	0	115
historyandtheoryofarchitecture	Art History & Archaeology	2	0	3	0	5
historysociology	Sociology-History **	0	1	0	0	1
italianculturalstudies	Italian	0	0	1	0	1
italianliterature	Italian	2	0	0	0	2
latinamericanstudies	Spanish & Portuguese	5	0	0	0	5
latinostudies	Latino Studies	3	0	2	0	5
mathematics	Mathematics	20	0	16	0	36
mathematicsstatistics	Mathematics-Statistics **	0	4	0	0	4
middleeastandasianlanguagesandcultures	Middle East and Asian Languages and Cultures	13	0	9	0	22
music	Music	13	0	9	0	22
neuroscienceandbehavior	Biological Sciences-Psychology **	0	13	0	0	13
philosophy	Philosophy	31	0	13	0	44
physics	Physics	11	0	4	0	15
politicalscience	Political Science	117	0	13	0	130
psychology	Psychology	47	0	21	0	68
regionalstudies	Associated Institutes	2	0	0	0	2
religion	Religion	14	0	6	0	20
russian	Slavic Languages	3	0	1	0	4
russianregionalstudies	Slavic Languages	1	0	0	0	1
sociology	Sociology	21	0	6	0	27
spanishlanguageandliterature	Spanish & Portuguese	0	0	2	0	2
spanishlanguageandliterature	Spanish & Portuguese	4	0	10	0	14
statistics	Statistics	1	0	1	0	2
urbanstudies	Urban Studies	14	0	0	0	14
visualarts	Visual Arts (School of The Arts)	4	0	4	0	8
women'sandgenderstudies	Women's and Gender Studies	3	0	5	0	8
Grand Totals	Grand Totals	859	93	276	0	1228
NA	NA	NA	NA	NA	Total Number of Degrees	973
