Program Description	Offering Units	Major	Interdepartmental Major	Concentration	Minor	Totals
africanamericanstudies	Institute for Research in African American Studies	2	0	2	0	4
americanstudies	American Studies	14	0	6	0	20
anthropology	Anthropology	27	0	19	0	46
appliedmathematics	Mathematics	1	0	0	0	1
archaeology	Archaeology	3	0	0	0	3
architecture	Architecture (Barnard)	23	0	0	0	23
arthistory	Art History & Archaeology	22	0	13	0	35
arthistoryandvisualarts	NA	0	4	0	0	4
asianamericanstudies	Asian American Studies	3	0	1	0	4
astronomy	Astronomy	1	0	0	0	1
astrophysics	Astronomy-Physics **	0	5	0	0	5
biochemistry	Biological Sciences-Chemistry **	0	15	0	0	15
biology	Biological Sciences	41	0	3	0	44
biophysics	Biological Sciences-Physics **	0	2	0	0	2
chemicalphysics	Chemistry-Physics **	0	1	0	0	1
chemistry	Chemistry	4	0	1	0	5
classics	Classics	6	0	3	0	9
comparativeethnicstudies	Center for the Study of Ethnicity and Race	4	0	5	0	9
comparativeliteratureandsociety	Center for Comparative Literature and Society	13	0	0	0	13
computerscience	Computer Science	6	0	5	0	11
creativewriting	Writing: Undergraduate (School Of The Arts)	15	0	0	0	15
dance	Dance (Barnard)	0	0	3	0	3
dramaandtheatrearts	Drama And Theatre Arts	2	0	0	0	2
earthscience	Earth and Environmental Sciences	1	0	0	0	1
eastasianstudies	East Asian Languages & Cultures	21	0	2	0	23
economics	Economics	108	0	21	0	129
economicsmathematics	Economics-Mathematics **	0	20	0	0	20
economicsoperationsresearch	Economics-Industrial Engineering & Operations Research**	0	4	0	0	4
economicsphilosophy	Economics-Philosophy **	0	19	0	0	19
economicspoliticalscience	Economics-Political Science **	0	21	0	0	21
economicsstatistics	Economics-Statistics **	0	1	0	0	1
english	English & Comparative Literature	87	0	8	0	95
environmentalbiology	Ecology, Evolution, and Environmental Biology	9	0	6	0	15
environmentalchemistry	Chemistry	1	0	0	0	1
environmentalscience	Earth and Environmental Sciences	8	0	1	0	9
evolutionarybiologyofthehumanspecies	Ecology, Evolution, and Environmental Biology	2	0	2	0	4
filmstudies	Film (School Of The Arts)	15	0	0	0	15
french	French & Romance Philology	8	0	1	0	9
frenchandfrancophonestudies	French & Romance Philology	6	0	0	0	6
germanliteratureandculturalhistory	Germanic Languages	6	0	2	0	8
hispanicstudies	Spanish & Portuguese	22	0	15	0	37
historicalsociology	Columbia College	1	0	0	0	1
history	Art History & Archaeology	0	0	1	0	1
history	History	117	0	36	0	153
historyandtheoryofarchitecture	Art History & Archaeology	3	0	0	0	3
italian	Italian	0	0	1	0	1
italianculturalstudies	Italian	2	0	0	0	2
latinostudies	Latino Studies	2	0	1	0	3
linguistics	Columbia College	2	0	0	0	2
mathematics	Mathematics	20	0	27	0	47
mathematicsstatistics	Mathematics-Statistics **	0	3	0	0	3
middleeastandasianlanguagesandcultures	Middle East and Asian Languages and Cultures	14	0	3	0	17
music	Music	8	0	5	0	13
musicscience	Columbia College	1	0	0	0	1
neuroscienceandbehavior	Biological Sciences-Psychology **	0	33	0	0	33
philosophy	Philosophy	24	0	14	0	38
physics	Physics	8	0	5	0	13
politicalscience	Political Science	115	0	27	0	142
psychology	Psychology	55	0	34	0	89
regionalstudies	Associated Institutes	1	0	3	0	4
religion	Religion	7	0	4	0	11
russian	Slavic Languages	1	0	1	0	2
russianlanuagesandcultures	Slavic Languages	2	0	2	0	4
slavicstudies	Slavic Languages	1	0	0	0	1
sociology	Sociology	17	0	5	0	22
spanishlanguageandliterature	Spanish & Portuguese	0	0	1	0	1
statistics	Statistics	4	0	0	0	4
urbanstudies	Urban Studies	17	0	0	0	17
visualarts	Visual Arts (School of The Arts)	9	0	8	0	17
women'sandgenderstudies	Women's and Gender Studies	2	0	2	0	4
Grand Totals	Grand Totals	914	128	299	0	1341
NA	NA	NA	NA	NA	Total Number of Degrees	1039
